County,Latitude,Longitude
"Cuming County, NE",41.91640371087868,-96.78740066794737
"Wahkiakum County, WA",46.29113381398991,-123.43346991362195
"De Baca County, NM",34.3424135117032,-104.41195788796516
"Lancaster County, NE",40.78417354489713,-96.68775550398647
"Nuckolls County, NE",40.176379629151256,-98.04718499007348
"Las Piedras County, PR",18.187526524092196,-65.86931738305486
"Minnehaha County, SD",43.674178231468844,-96.79143650829626
"Menard County, TX",30.889782006927966,-99.82063586132584
"Sierra County, CA",39.58040010145207,-120.51599637865922
"Clinton County, KY",36.727481632647304,-85.13601356151014
"Hancock County, OH",41.0019383759143,-83.66653540621988
"Hale County, TX",34.07051250962948,-101.82688130032685
"Clay County, AL",33.26908586733415,-85.86054708469251
"Armstrong County, TX",34.9649255861593,-101.35740433877505
"Allen County, OH",40.77152070381391,-84.10577942695234
"McDuffie County, GA",33.48283311260733,-82.48139944716317
"Sauk County, WI",43.426663384542046,-89.94821666670128
"Stone County, AR",35.859876204251044,-92.15674637741593
"Wallowa County, OR",45.57986537288535,-117.18102000904345
"Beaver County, PA",40.68226225756075,-80.34929543219964
"Jasper County, MS",32.01914811328426,-89.11888175808787
"Henry County, MO",38.38516302104519,-93.79275002978282
"Saguache County, CO",38.08055275484529,-106.28155556178494
"Chatham County, NC",35.702620396873826,-79.25539400463835
"Rich County, UT",41.6322741959922,-111.24450483685217
"Adair County, OK",35.88393414297183,-94.65873914022424
"Lake County, OH",41.91032889025722,-81.25090725930451
"Salem County, VA",37.2864040875935,-80.05546950721578
"Montgomery County, VA",37.174290752148536,-80.38721544272144
"Hamilton County, TN",35.18080866497649,-85.1647573628672
"Otero County, NM",32.61314467672002,-105.74144255453666
"Catron County, NM",33.915351884246476,-108.40476239895601
"Marengo County, AL",32.24761341177563,-87.78951929256615
"Lincoln County, WY",42.26380161858721,-110.65594727619919
"Barton County, MO",37.50230058329696,-94.34711077469841
"Calhoun County, TX",28.439109268551395,-96.61507367330574
"Poquoson County, VA",37.15027831950902,-76.27049999547616
"Pocahontas County, WV",38.33179534201157,-80.00775249760409
"Clay County, TX",33.78553104195028,-98.20850330184655
"James City County, VA",37.313337656866416,-76.77386709969937
"Keith County, NE",41.19879490596006,-101.6613959789361
"Phelps County, NE",40.51111303614264,-99.41454288798185
"Calcasieu Parish, LA",30.22929360325462,-93.35800479914253
"Union Parish, LA",32.83189241705975,-92.37480185805022
"Sequoyah County, OK",35.4953460081696,-94.75518871301918
"DeKalb County, AL",34.45976662489966,-85.80414373090854
"Steuben County, NY",42.26781794791719,-77.38380248339287
"Forest County, PA",41.5130709314074,-79.23601565280818
"Tangipahoa Parish, LA",30.626645933537773,-90.40566270571514
"Stafford County, VA",38.420719016517324,-77.45740038288241
"Menominee County, MI",45.52512135828184,-87.50968400185165
"Jasper County, IN",41.02299830519127,-87.11612124192517
"Brantley County, GA",31.19687611183492,-81.98189236382535
"Lamar County, GA",33.0765357583519,-84.13946265589303
"Steuben County, IN",41.64386786766735,-85.00076484810519
"Orange County, TX",30.121313548563794,-93.89387611670674
"Fayette County, OH",39.55988300249612,-83.45609728016503
"Hampshire County, MA",42.340155585534184,-72.66378616490911
"Allen County, KY",36.75131655131199,-86.19041867024725
"Alamance County, NC",36.043709877005604,-79.39942481745217
"Greenwood County, KS",37.87778756376504,-96.23263566980539
"Suffolk County, MA",42.348690007858586,-70.98560531848818
"Jefferson County, ID",43.82013245310646,-112.31130246014175
"Gonzales County, TX",29.456733334404838,-97.49252375155423
"Marion County, TN",35.129332748167656,-85.62199243637194
"Alpena County, MI",45.03110750673705,-83.16520109097415
"Wayne County, KY",36.80126523364223,-84.8286311964817
"White County, TN",35.926348428982806,-85.45517717980276
"Fannin County, TX",33.5938097930702,-96.10682768349518
"Doniphan County, KS",39.788080612869834,-95.14679424313462
"Kerr County, TX",30.061483803662867,-99.35015975322919
"Hernando County, FL",28.557480279911257,-82.52822532446051
"Wakulla County, FL",30.09475254703254,-84.34918699010957
"Walton County, FL",30.57123002674013,-86.17444521227422
"Chickasaw County, MS",33.92079985958424,-88.9478637891344
"Ketchikan Gateway County, AK",55.488527114309186,-131.03050719913884
"Clare County, MI",43.98789186631934,-84.84786074874725
"Republic County, KS",39.827796320749705,-97.65062277358136
"Volusia County, FL",29.063447505232162,-81.14857435739508
"Canadian County, OK",35.54244457867314,-97.98240129855178
"Quebradillas County, PR",18.463048271445622,-66.92626636523059
"St. Thomas County, VI",18.3286016876237,-64.96708278568704
"Floyd County, GA",34.26316269149023,-85.21427864507162
"Churchill County, NV",39.58088742637853,-118.33573102986195
"Webster County, NE",40.17643321160498,-98.4999473750311
"Hancock County, IL",40.40377473244137,-91.16469554939894
"Hutchinson County, SD",43.33484668828241,-97.75441623499648
"Crook County, OR",44.14217983718705,-120.35658095017016
"Franklin County, VT",44.85763904827899,-72.91319095130247
"Marquette County, MI",46.6628779661105,-87.57352410340582
"Davidson County, NC",35.7933322615351,-80.2127568767474
"Clay County, IL",38.7541714928502,-88.49023742324029
"Knox County, MO",40.128254892909396,-92.14807238721842
"Livingston County, MO",39.78210291105462,-93.54827927862037
"Tioga County, PA",41.77218180294218,-77.25425479735469
"Dakota County, NE",42.39111181881754,-96.564513000321
"Leelanau County, MI",45.151770858354645,-86.03849605204714
"Surry County, VA",37.11691216034846,-76.88830957001858
"Refugio County, TX",28.321575300081992,-97.15952146321843
"Butler County, OH",39.43862770363112,-84.57562560777663
"Terrell County, GA",31.77688098636072,-84.43692220132563
"Clayton County, GA",33.54197432083581,-84.35760622543752
"Fremont County, WY",43.04052809731024,-108.63041812366454
"Ohio County, IN",38.95009581145491,-84.96503292643821
"Columbia County, GA",33.54412079729232,-82.26409652867542
"Sedgwick County, CO",40.875904964130136,-102.35179119474532
"Musselshell County, MT",46.49656118510246,-108.3980881300721
"Dauphin County, PA",40.41544394902923,-76.77945751672836
"Moody County, SD",44.02201136304486,-96.67092202747997
"Putnam County, WV",38.50861677958662,-81.90899292713311
"Sussex County, NJ",41.13930235423885,-74.69089205727809
"Decatur County, KS",39.78475649084976,-100.4598995443003
"Perry County, IN",38.079636038660105,-86.63802967691693
"Union County, MS",34.49047422887448,-89.00385691114677
"Boyd County, NE",42.899684745731555,-98.76646190397328
"Mille Lacs County, MN",45.93804567726971,-93.6300951209861
"Walsh County, ND",48.36945603556499,-97.72132408564117
"Morgan County, OH",39.62037347281182,-81.85266189845373
"Portage County, OH",41.1676888935933,-81.19740251402301
"Uinta County, WY",41.28749192096984,-110.54756169338135
"Humboldt County, NV",41.406846570409314,-118.11196582746476
"Jim Hogg County, TX",27.043397136790187,-98.69730506846341
"Cheyenne County, CO",38.827939720656815,-102.60339582390334
"Clackamas County, OR",45.18804638994117,-122.22084485042221
"Polk County, AR",34.485761403256305,-94.2281750890873
"Macon County, GA",32.35838259558236,-84.04247941241923
"Benton County, IN",40.606258463448185,-87.31090601887698
"Morgan County, TN",36.13502441218978,-84.6492037412245
"Douglas County, SD",43.38692416114378,-98.36609835621249
"Worcester County, MD",38.21649998364017,-75.2966708191721
"Wabash County, IL",38.446101602975666,-87.84427488880995
"Huntington County, IN",40.82923467436583,-85.48817714842704
"Scott County, KY",38.2915480199068,-84.58393282561708
"Decatur County, IA",40.73768270997862,-93.78628140985238
"Wabash County, IN",40.84569300142957,-85.79400567489222
"Allen County, IN",41.09085982945325,-85.06654747222503
"Marshall County, IN",41.324848958723926,-86.26176128904878
"Thomas County, NE",41.91358523598813,-100.55588635652352
"Sioux County, ND",46.11265390910044,-101.04030528404935
"Dimmit County, TX",28.42253599822055,-99.75672612500453
"Fillmore County, MN",43.67400469795436,-92.09017554040146
"Chester County, SC",34.69205729207653,-81.15953127092098
"Lac qui Parle County, MN",44.99548738521157,-96.17347832618427
"Cache County, UT",41.7224447087908,-111.74361809026695
"Pierce County, WI",44.71940150440155,-92.42250349090855
"Charlton County, GA",30.781727201573588,-82.13768814116564
"Polk County, GA",34.00178448544973,-85.18815338218786
"McLean County, IL",40.490891618559736,-88.84732427797877
"Androscoggin County, ME",44.16584842785464,-70.20644499377971
"Kootenai County, ID",47.67435662703919,-116.70176203050924
"Clark County, NV",36.21519630845167,-115.01356105204503
"Phillips County, KS",39.78458311179922,-99.34702212271688
"Holt County, NE",42.455710837195106,-98.78384471456312
"Johnson County, MO",38.74408548553894,-93.80636749323642
"La Crosse County, WI",43.90656902485832,-91.1152179738484
"Caldwell Parish, LA",32.092371544804706,-92.11657357029969
"Edmonson County, KY",37.208840197990085,-86.23862014813024
"Bond County, IL",38.88682893284213,-89.43554256930906
"Brown County, IL",39.96176162875665,-90.75035562116068
"McLeod County, MN",44.82355908130663,-94.27243558437964
"Dunn County, WI",44.94658399039957,-91.89640359901017
"Custer County, CO",38.10867790245601,-105.36747176903887
"Madison County, MO",37.47809549605562,-90.34502615956976
"Nolan County, TX",32.30349025793003,-100.40605246324631
"Wayne County, PA",41.64878738984805,-75.30323684228718
